file,import
project-falcon-main/tailwind.config.js,tailwindcss-animate
project-falcon-main/vite.config.js,vite
project-falcon-main/vite.config.js,@vitejs/plugin-react
project-falcon-main/vite.config.js,path
project-falcon-main/src/App.jsx,react
project-falcon-main/src/App.jsx,@supabase/auth-helpers-react
project-falcon-main/src/App.jsx,./lib/supabaseClient
project-falcon-main/src/App.jsx,./routes
project-falcon-main/src/App.jsx,react-hot-toast
project-falcon-main/src/main.jsx,react
project-falcon-main/src/main.jsx,react-dom/client
project-falcon-main/src/main.jsx,./App
project-falcon-main/src/main.jsx,react-router-dom
project-falcon-main/src/main.jsx,./context/UserContext
project-falcon-main/src/components/ActivityLogCard.jsx,react
project-falcon-main/src/components/ActivityLogCard.jsx,date-fns
project-falcon-main/src/components/Badge.jsx,react
project-falcon-main/src/components/ContactForm.jsx,react
project-falcon-main/src/components/DashboardCalendar.jsx,react
project-falcon-main/src/components/DashboardCalendar.jsx,react-router-dom
project-falcon-main/src/components/DashboardCalendar.jsx,@fullcalendar/react
project-falcon-main/src/components/DashboardCalendar.jsx,@fullcalendar/daygrid
project-falcon-main/src/components/DashboardCalendar.jsx,@fullcalendar/timegrid
project-falcon-main/src/components/DashboardCalendar.jsx,@fullcalendar/interaction
project-falcon-main/src/components/DashboardCard.jsx,react
project-falcon-main/src/components/FloatingActivityLog.jsx,react
project-falcon-main/src/components/FloatingActivityLog.jsx,react-draggable
project-falcon-main/src/components/FloatingActivityLog.jsx,@/lib/supabaseClient
project-falcon-main/src/components/FloatingActivityLog.jsx,@/lib/hooks/useSession
project-falcon-main/src/components/FloatingActivityLog.jsx,lucide-react
project-falcon-main/src/components/FloatingActivityLog.jsx,@/lib/utils
project-falcon-main/src/components/LicenseEditor.jsx,react
project-falcon-main/src/components/LicenseEditor.jsx,@/lib/supabaseClient
project-falcon-main/src/components/MapContainer.jsx,react
project-falcon-main/src/components/MetaItem.jsx,react
project-falcon-main/src/components/SectionHeader.jsx,react
project-falcon-main/src/components/Sidebar.jsx,react
project-falcon-main/src/components/Sidebar.jsx,react-router-dom
project-falcon-main/src/components/Sidebar.jsx,@/lib/hooks/useRole
project-falcon-main/src/components/SidebarLink.jsx,react
project-falcon-main/src/components/SidebarLink.jsx,react-router-dom
project-falcon-main/src/components/SummaryCard.jsx,react
project-falcon-main/src/components/TableDrawer.jsx,@/components/orders/OrderDrawerContent
project-falcon-main/src/components/TableDrawer.jsx,@/components/clients/ClientDrawerContent
project-falcon-main/src/components/TableDrawer.jsx,@/components/users/UserDrawerContent
project-falcon-main/src/components/UserDocuments.jsx,react
project-falcon-main/src/components/UserDocuments.jsx,@/lib/supabaseClient
project-falcon-main/src/components/admin/AdminCalendar.jsx,react
project-falcon-main/src/components/admin/AdminCalendar.jsx,@/lib/supabaseClient
project-falcon-main/src/components/admin/AdminCalendar.jsx,@/lib/utils/colorForId
project-falcon-main/src/components/admin/AdminCalendar.jsx,./CalendarLegend
project-falcon-main/src/components/admin/AdminCalendar.jsx,react-router-dom
project-falcon-main/src/components/admin/CalendarLegend.jsx,react
project-falcon-main/src/components/clients/ClientCard.jsx,react
project-falcon-main/src/components/clients/ClientCard.jsx,react-router-dom
project-falcon-main/src/components/clients/ClientDetailPanel.jsx,react
project-falcon-main/src/components/clients/ClientDetailPanel.jsx,react-router-dom
project-falcon-main/src/components/clients/ClientDetailPanel.jsx,@/lib/supabaseClient
project-falcon-main/src/components/clients/ClientDrawerContent.jsx,react
project-falcon-main/src/components/clients/ClientDrawerContent.jsx,@/lib/supabaseClient
project-falcon-main/src/components/clients/ClientDrawerContent.jsx,react-chartjs-2
project-falcon-main/src/components/clients/ClientDrawerContent.jsx,./ClientDetailPanel
project-falcon-main/src/components/clients/ClientDrawerContent.jsx,./ClientSidebarPanel
project-falcon-main/src/components/clients/ClientFilters.jsx,react
project-falcon-main/src/components/clients/ClientFilters.jsx,react-select
project-falcon-main/src/components/clients/ClientSelector.jsx,react
project-falcon-main/src/components/clients/ClientSelector.jsx,@/lib/supabaseClient
project-falcon-main/src/components/clients/ClientSidebarPanel.jsx,react
project-falcon-main/src/components/clients/ClientSidebarPanel.jsx,react-chartjs-2
project-falcon-main/src/components/clients/ClientsTable.jsx,react
project-falcon-main/src/components/clients/ClientsTable.jsx,@/components/TableDrawer
project-falcon-main/src/components/clients/ClientsTable.jsx,@/components/clients/ClientDrawerContent
project-falcon-main/src/components/forms/ClientForm.jsx,react
project-falcon-main/src/components/forms/ClientForm.jsx,@/lib/supabaseClient
project-falcon-main/src/components/inputs/AddressAutocomplete.jsx,react
project-falcon-main/src/components/inputs/AddressAutocomplete.jsx,@/components/ui/input
project-falcon-main/src/components/inputs/AddressAutocomplete.jsx,@/lib/hooks/useGooglePlaces
project-falcon-main/src/components/inputs/OrderNumberField.jsx,react
project-falcon-main/src/components/inputs/OrderNumberField.jsx,@/components/ui/input
project-falcon-main/src/components/inputs/OrderNumberField.jsx,@/lib/supabaseClient
project-falcon-main/src/components/maps/PropertyMap.jsx,react
project-falcon-main/src/components/maps/PropertyMap.jsx,@/lib/hooks/useGooglePlaces
project-falcon-main/src/components/notifications/NotificationBell.jsx,react
project-falcon-main/src/components/notifications/NotificationBell.jsx,react-router-dom
project-falcon-main/src/components/notifications/NotificationBell.jsx,@/lib/hooks/useSession
project-falcon-main/src/components/orders/ActiveOrdersList.jsx,react
project-falcon-main/src/components/orders/ActiveOrdersList.jsx,react-router-dom
project-falcon-main/src/components/orders/AppointmentCell.jsx,react
project-falcon-main/src/components/orders/AppointmentCell.jsx,react
project-falcon-main/src/components/orders/AppointmentCell.jsx,react-datepicker
project-falcon-main/src/components/orders/AppointmentCell.jsx,date-fns
project-falcon-main/src/components/orders/AppointmentCell.jsx,@/components/ui/button
project-falcon-main/src/components/orders/AssignmentFields.jsx,react
project-falcon-main/src/components/orders/AssignmentFields.jsx,@/components/ui/button
project-falcon-main/src/components/orders/AssignmentFields.jsx,@/lib/supabaseClient
project-falcon-main/src/components/orders/BasicInfoFields.jsx,react
project-falcon-main/src/components/orders/BasicInfoFields.jsx,@/components/ui/input
project-falcon-main/src/components/orders/BasicInfoFields.jsx,@/components/ui/button
project-falcon-main/src/components/orders/BasicInfoFields.jsx,@/components/inputs/AddressAutocomplete
project-falcon-main/src/components/orders/BasicInfoFields.jsx,@/components/inputs/OrderNumberField
project-falcon-main/src/components/orders/BasicInfoFields.jsx,@/lib/hooks/useGooglePlaces
project-falcon-main/src/components/orders/DateFields.jsx,react
project-falcon-main/src/components/orders/FeeFields.jsx,react
project-falcon-main/src/components/orders/InvoiceFields.jsx,react
project-falcon-main/src/components/orders/MyOrdersCard.jsx,react
project-falcon-main/src/components/orders/MyOrdersCard.jsx,@/lib/supabaseClient
project-falcon-main/src/components/orders/MyOrdersCard.jsx,@/lib/hooks/useSession
project-falcon-main/src/components/orders/MyOrdersCard.jsx,react-router-dom
project-falcon-main/src/components/orders/NewOrderFields.jsx,@/components/clients/ClientSelector
project-falcon-main/src/components/orders/NewOrderFields.jsx,@/components/ui/AddressAutocomplete
project-falcon-main/src/components/orders/NotesField.jsx,react
project-falcon-main/src/components/orders/OrderActivityPanel.jsx,react
project-falcon-main/src/components/orders/OrderActivityPanel.jsx,@/lib/supabaseClient
project-falcon-main/src/components/orders/OrderCard.jsx,react
project-falcon-main/src/components/orders/OrderCard.jsx,react-router-dom
project-falcon-main/src/components/orders/OrderCard.jsx,../Badge
project-falcon-main/src/components/orders/OrderCard.jsx,@/components/ui/card
project-falcon-main/src/components/orders/OrderDetailPanel.jsx,react
project-falcon-main/src/components/orders/OrderDetailPanel.jsx,@/components/MetaItem
project-falcon-main/src/components/orders/OrderDetailPanel.jsx,react-router-dom
project-falcon-main/src/components/orders/OrderDrawerContent.jsx,react
project-falcon-main/src/components/orders/OrderDrawerContent.jsx,./OrderDetailPanel
project-falcon-main/src/components/orders/OrderDrawerContent.jsx,./OrderSidebarPanel
project-falcon-main/src/components/orders/OrderDrawerContent.jsx,@/lib/hooks/useSession
project-falcon-main/src/components/orders/OrderDrawerContent.jsx,@/lib/supabaseClient
project-falcon-main/src/components/orders/OrderForm.jsx,react
project-falcon-main/src/components/orders/OrderForm.jsx,react-router-dom
project-falcon-main/src/components/orders/OrderForm.jsx,@/lib/supabaseClient
project-falcon-main/src/components/orders/OrderForm.jsx,@/lib/hooks/useOrderForm
project-falcon-main/src/components/orders/OrderForm.jsx,react-hot-toast
project-falcon-main/src/components/orders/OrderInfoFields.jsx,react
project-falcon-main/src/components/orders/OrderInfoFields.jsx,./BasicInfoFields
project-falcon-main/src/components/orders/OrderInfoFields.jsx,./AssignmentFields
project-falcon-main/src/components/orders/OrderInfoFields.jsx,./DateFields
project-falcon-main/src/components/orders/OrderInfoFields.jsx,./TypeFields
