order_number,order_number_source,client_name,property_address,property_name,city,state,year,status,property_type,fee,county,ordered_date,inspection_date,completed_date,appraiser_name,reviewer_name,source_file_path,completion_evidence,extraction_notes,normalized_client_name,confidence,evidence_notes,matched_order_book_order_number,matched_order_book_row,matched_order_book_method,matched_appraiser_log_row
2025033,invoice_no,Basem Kareem,1844 Bancroft Street,,Toledo,OH,2025,Completed,Retail,900,,2025-01-15,,2025-03-31,CR,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Retail\1844 Bancroft Street, Toledo, OH - Multi Tenant\Invoice.pdf",Complete Report.pdf; Invoice.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf,Basem Kareem,High - Order Book validated,validated/enriched from Order Book row 66 via exact_order_number,2025033,66,exact_order_number,
2025066,invoice_no,Genoa Banking Company,5526 Woodville Road,,Northwood,OH,2025,Completed,Retail,900,,2025-02-13,,2025-02-27,CD,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Automotive Services\5526 Woodville Road, Northwood, OH\Invoice.pdf",Complete Report.pdf; Invoice.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf,Genoa Banking Company,High - Order Book validated,validated/enriched from Order Book row 132 via exact_order_number,2025066,132,exact_order_number,
2025085,invoice_no,Amalgamated Real Estate Management,"114, 118 & 122 W Sylvania Ave",,Toledo,OH,2025,Completed,Industrial,1500,,2025-03-03,,2025-04-04,CD,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Industrial (Flex)\114, 118 & 122 W Sylvania Avenue, Toledo, OH\Invoice - 114, 118 & 122 W Sylvania Avenue.pdf","Complete Report - 114, 118 & 122 W Sylvania Avenue.pdf; Invoice - 114, 118 & 122 W Sylvania Avenue.pdf","property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice - 114, 118 & 122 W Sylvania Avenue.pdf; order_number_source from Invoice - 114, 118 & 122 W Sylvania Avenue.pdf; client_name from Invoice - 114, 118 & 122 W Sylvania Avenue.pdf; fee from Invoice - 114, 118 & 122 W Sylvania Avenue.pdf; completed_date from Invoice - 114, 118 & 122 W Sylvania Avenue.pdf; fee corrected from source",Amalgamated Real Estate Management,High - Order Book validated,validated/enriched from Order Book row 170 via exact_order_number,2025085,170,exact_order_number,
2025087,invoice_no,Amalgamated Real Estate Management,5810 Southwyck Blvd,,Toledo,OH,2025,Completed,Office,1500,,2025-03-05,,2025-05-15,CD,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Office\5810 Southwyck Blvd, Toledo, OH\Invoice - 5810 Southwyck Blvd.pdf",Complete Report - 5810 Southwyck Blvd.pdf; Invoice - 5810 Southwyck Blvd.pdf; Revised Complete Report - 5810 Southwyck Blvd.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice - 5810 Southwyck Blvd.pdf; order_number_source from Invoice - 5810 Southwyck Blvd.pdf; client_name from Invoice - 5810 Southwyck Blvd.pdf; fee from Invoice - 5810 Southwyck Blvd.pdf; completed_date from Invoice - 5810 Southwyck Blvd.pdf; fee corrected from source,Amalgamated Real Estate Management,High - Order Book validated,validated/enriched from Order Book row 174 via exact_order_number,2025087,174,exact_order_number,
2025088,invoice_no,Richwood Banking Company,"33 SFRs, 1 Duplex, 1 bare lot",,Lima,OH,2025,Completed,Multifamily,5000,,2025-03-03,,2025-03-20,TC,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Apartments\Portfolio of 34 SFR, Lima, OH\Invoice.pdf",Complete Report.pdf; Invoice.pdf; Report Only.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,Richwood Banking Company,High - Order Book validated,validated/enriched from Order Book row 176 via exact_order_number,2025088,176,exact_order_number,
2025100,invoice_no,Harriet Davis,2645-2655 West Central Avenue,,Toledo,OH,2025,Completed,Industrial,1200,,2025-03-10,,2025-04-02,CR,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Industrial (Flex)\2645-2655 W Central Avenue, Toledo, OH\Invoice.pdf",Complete Report.pdf; Invoice.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,Harriet Davis,High - Order Book validated,validated/enriched from Order Book row 200 via exact_order_number,2025100,200,exact_order_number,
2025102,invoice_no,Genoa Banking Company,413 West State Street,,Fremont,OH,2025,Completed,Retail,1100,,2025-03-13,,2025-03-27,MS,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Restaurant\413 West State Street, Fremont, OH\Invoice.pdf",Complete Report.pdf; Invoice.pdf; Revised Complete Report.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,Genoa Banking Company,High - Order Book validated,validated/enriched from Order Book row 204 via exact_order_number,2025102,204,exact_order_number,
2025105,invoice_no,State Bank & Trust Co.,1000 W Wayne Street,,Paulding,OH,2025,Completed,Special Purpose,1100,,2025-03-13,,2025-03-27,TC,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Special\1000 W Wayne Street, Paulding, OH - Funeral Home\Invoice.pdf",Complete Report.pdf; Invoice.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,State Bank & Trust Co.,High - Order Book validated,validated/enriched from Order Book row 210 via exact_order_number,2025105,210,exact_order_number,
2025111,invoice_no,Farmers & Merchants State Bank,1414 Stewart Rd,,Monroe,MI,2025,Completed,Retail,2200,,2025-03-14,,2025-04-01,TC,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\C-Store, Gas Station\1414 Stewart Road, Monroe, MI\Invoice.pdf",Complete Report.pdf; Invoice.pdf; Revised Complete Report.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,Farmers & Merchants State Bank,High - Order Book validated,validated/enriched from Order Book row 222 via exact_order_number,2025111,222,exact_order_number,
2025112,invoice_no,Citizens National Bank,1525 Lima Avenue,,Findlay,OH,2025,Completed,Industrial,1300,,2025-03-14,,04/23/2025,MS,,"C:\Users\Chris\OneDrive - Continental Real Estate Solutions LLC\Commercial-Shared\Reports\2025 Reports\Industrial (Flex)\1525 Lima Avenue, Findlay, OH\Invoice.pdf",Complete Report.pdf; Invoice.pdf,property_address inferred from folder; city inferred from folder; state inferred from folder; property_type inferred from top-level folder; order_number from Invoice.pdf; order_number_source from Invoice.pdf; client_name from Invoice.pdf; fee from Invoice.pdf; completed_date from Invoice.pdf; fee corrected from source,Citizens National Bank,High - Order Book validated,validated/enriched from Order Book row 224 via exact_order_number,2025112,224,exact_order_number,
