collision_type,recommended_action,order_number,client_name,property_address,existing_order_id,existing_order_number,existing_client_name,source_file,source_row
exact_existing_order_number,skip_existing,2025033,Basem Kareem,1844 Bancroft Street,9d3140da-05f3-4ad3-ae94-de7a97ff705d,2025033,Basem Kareem,falcon_2025_orders_enriched_review.csv,2
exact_existing_order_number,skip_existing,2025066,Genoa Banking Company,5526 Woodville Road,be0ff922-b2e8-40fe-a007-9e1d643ed8a5,2025066,Genoa Banking Company,falcon_2025_orders_enriched_review.csv,3
exact_existing_order_number,skip_existing,2025085,Amalgamated Real Estate Management,"114, 118 & 122 W Sylvania Ave",35e922ae-22a2-44c3-a24d-73cd419b131d,2025085,"Amalgamated Real Estate Management, LLC",falcon_2025_orders_enriched_review.csv,4
exact_existing_order_number,skip_existing,2025087,Amalgamated Real Estate Management,5810 Southwyck Blvd,b3ec568a-37c2-47d5-89a9-194967f9291f,2025087,"Amalgamated Real Estate Management, LLC",falcon_2025_orders_enriched_review.csv,5
exact_existing_order_number,skip_existing,2025088,Richwood Banking Company,"33 SFRs, 1 Duplex, 1 bare lot",93f2a2ad-6b45-404e-bfc6-964e05c0a5cd,2025088,Richwood Banking Company,falcon_2025_orders_enriched_review.csv,6
exact_existing_order_number,skip_existing,2025100,Harriet Davis,2645-2655 West Central Avenue,2b9e4914-8597-4998-ba54-8207007a445e,2025100,Harriet Davis,falcon_2025_orders_enriched_review.csv,7
exact_existing_order_number,skip_existing,2025102,Genoa Banking Company,413 West State Street,b03c4f3c-d2b7-4a64-9e45-d95407f5a878,2025102,Genoa Banking Company,falcon_2025_orders_enriched_review.csv,8
exact_existing_order_number,skip_existing,2025105,State Bank & Trust Co.,1000 W Wayne Street,d3dfb01b-e6a3-4e09-a3c7-c0771884270b,2025105,State Bank & Trust Co.,falcon_2025_orders_enriched_review.csv,9
exact_existing_order_number,skip_existing,2025111,Farmers & Merchants State Bank,1414 Stewart Rd,fa1db296-b091-466b-a4e2-e92699a62e9d,2025111,Farmers & Merchants State Bank,falcon_2025_orders_enriched_review.csv,10
exact_existing_order_number,skip_existing,2025112,Citizens National Bank,1525 Lima Avenue,834b9811-5b15-4fb7-a086-1923ca861947,2025112,Citizens National Bank,falcon_2025_orders_enriched_review.csv,11
exact_existing_order_number,skip_existing,2025113,State Bank & Trust Co.,122 S Fulton Street,fbde87e3-d34e-4614-a711-3852329ef458,2025113,State Bank & Trust Co.,falcon_2025_orders_enriched_review.csv,12
exact_existing_order_number,skip_existing,2025117,Union Bank,"126 W North Street, Ada OH & 1130 E Albert Street",2b2ca227-d230-4bf8-9477-c6cde5c25f55,2025117,The Union Bank Company,falcon_2025_orders_enriched_review.csv,13
exact_existing_order_number,skip_existing,2025118,Farmers & Merchants State Bank,0 E State Road,09b2fbb2-d691-4d35-a5a7-485c75f16b44,2025118,Farmers & Merchants State Bank,falcon_2025_orders_enriched_review.csv,14
exact_existing_order_number,skip_existing,2025120,State Bank & Trust Co.,700 W Elm Street,e220f649-91fb-4a73-b9bd-1bf882049178,2025120,State Bank & Trust Co.,falcon_2025_orders_enriched_review.csv,15
exact_existing_order_number,skip_existing,2025121,Premier Bank,18135 Range Line Rd & Kellogg Rd,6b012406-7cfb-45cb-94d7-e27e19d1d97c,2025121,Premier Bank,falcon_2025_orders_enriched_review.csv,16
exact_existing_order_number,skip_existing,2025122,Genoa Banking Company,1201 Champlain Street,c98ac197-792e-4862-b9a2-5bca134f0492,2025122,Genoa Banking Company,falcon_2025_orders_enriched_review.csv,17
exact_existing_order_number,skip_existing,2025123,Premier Bank,1122 Buck Road,5be50f0b-f5f7-4370-b542-6a90f775fb64,2025123,Premier Bank,falcon_2025_orders_enriched_review.csv,18
exact_existing_order_number,skip_existing,2025124,Premier Bank,1130 Buck Road,fa43d72a-d839-49c4-9596-eeb805ac766b,2025124,Premier Bank,falcon_2025_orders_enriched_review.csv,19
exact_existing_order_number,skip_existing,2025125,State Bank & Trust Co.,717 Perry Street,70d41618-5962-4673-8d1b-6388fe9ae8f6,2025125,State Bank & Trust Co.,falcon_2025_orders_enriched_review.csv,20
exact_existing_order_number,skip_existing,2025126,Civista Bank,1431 Oakwood Avenue,abff7421-351d-4324-b9e7-f977232e0010,2025126,Civista Bank,falcon_2025_orders_enriched_review.csv,21
exact_existing_order_number,skip_existing,2025127,Premier Bank,214-216 & 222 North Market Street,cd03e1d5-8a74-4319-b26b-12262e9bfced,2025127,Premier Bank,falcon_2025_orders_enriched_review.csv,22
exact_existing_order_number,skip_existing,2025128,Bob Falk,1102 N Summit Street,6bfb1bce-4cff-49e9-81be-bb28180230b1,2025128,Bob Falk,falcon_2025_orders_enriched_review.csv,23
exact_existing_order_number,skip_existing,2025130,Superior Credit Union,2625-2637 Navarre Avenue,bd31d8f4-f3f4-4267-9861-cdd0dc909ab5,2025130,Superior Credit Union,falcon_2025_orders_enriched_review.csv,24
exact_existing_order_number,skip_existing,2025134,Union Bank,2000 N Cole Street,853b06b4-75a4-4bf7-bf91-1fffcb944fc1,2025134,The Union Bank Company,falcon_2025_orders_enriched_review.csv,25
exact_existing_order_number,skip_existing,2025135,Union Bank,290 N Main Street,c77c92e5-6f1f-4742-ba15-8ce6f47fe261,2025135,The Union Bank Company,falcon_2025_orders_enriched_review.csv,26
exact_existing_order_number,skip_existing,2025136,Union Bank,6048 Deer Park Court,11b40ab0-8228-4e42-87ae-3b1f581c46ec,2025136,The Union Bank Company,falcon_2025_orders_enriched_review.csv,27
exact_existing_order_number,skip_existing,2025137,Union Bank,6056 Deer Park Court,191bc9aa-e8d1-4038-8577-d5f926fd7e36,2025137,The Union Bank Company,falcon_2025_orders_enriched_review.csv,28
exact_existing_order_number,skip_existing,2025138,Guy Saglioccolo,5425 Southwyck Blvd,6f752d72-f047-4743-a3b1-6d9117b13e9b,2025138,Guy Saglioccolo,falcon_2025_orders_enriched_review.csv,29
exact_existing_order_number,skip_existing,2025139,Guy Saglioccolo,2205 Parkwood Avenue,b4936f27-3c89-424e-9280-fa39f05d09d0,2025139,Guy Saglioccolo,falcon_2025_orders_enriched_review.csv,30
exact_existing_order_number,skip_existing,2025141,Guy Saglioccolo,2271 Parkwood Avenue,fad56f50-6fe7-49ad-9245-b3ae2e357144,2025141,Guy Saglioccolo,falcon_2025_orders_enriched_review.csv,31
exact_existing_order_number,skip_existing,2025143,State Bank & Trust Co.,Monroe Street,55bc366f-24b9-4a5d-b6c3-1b5e764bf6e7,2025143,State Bank & Trust Co.,falcon_2025_orders_enriched_review.csv,32
exact_existing_order_number,skip_existing,2025145,Farmers & Merchants State Bank,S Defiance St,59ee7cfa-c15f-4bc7-b11f-181257d0a632,2025145,Farmers & Merchants State Bank,falcon_2025_orders_enriched_review.csv,33
exact_existing_order_number,skip_existing,2025146,Peter Dewhirst,8442 Aarons Wood Ct,910b32fd-f8ab-4f42-89eb-c60fb018b4f3,2025146,Peter Dewhirst,falcon_2025_orders_enriched_review.csv,34
exact_existing_order_number,skip_existing,2025147,State Bank & Trust Co.,Upton Street,a1c408d8-8f18-4886-933b-ec6c2dcd9d6a,2025147,State Bank & Trust Co.,falcon_2025_orders_enriched_review.csv,35
exact_existing_order_number,skip_existing,2025150,Basem Kareem,1310 Lagrange Street,3e674214-3a3b-4be5-92ae-cfed5246e90c,2025150,Basem Kareem,falcon_2025_orders_enriched_review.csv,36
exact_existing_order_number,skip_existing,2025151,Basem Kareem,1402 Lagrange Street,32813151-d8f4-4341-ac7c-191c1c29c41b,2025151,Basem Kareem,falcon_2025_orders_enriched_review.csv,37
exact_existing_order_number,skip_existing,2025153,Peter Dewhirst,4656 Glendale Avenue,bb42a9db-dc73-4267-858e-cf37244baa87,2025153,Peter Dewhirst,falcon_2025_orders_enriched_review.csv,38
exact_existing_order_number,skip_existing,2025156,State Bank & Trust Co.,1330 Bellefontaine Avenue,1485db42-1766-4151-88a9-33e13898071b,2025156,State Bank & Trust Co.,falcon_2025_orders_enriched_review.csv,39
exact_existing_order_number,skip_existing,2025158,Peter Dewhirst,4455 Secor Road,448590c5-3e5b-4fc5-b08b-08614fbf2659,2025158,Peter Dewhirst,falcon_2025_orders_enriched_review.csv,40
exact_existing_order_number,skip_existing,2025159,Peter Dewhirst,33 S Byrne Road,da2ffcad-91b7-4787-9e75-eb1055530f83,2025159,Peter Dewhirst,falcon_2025_orders_enriched_review.csv,41
exact_existing_order_number,skip_existing,2025160,Richwood Banking Company,Lemasters Road,cdb7eee4-1bc2-4a0c-ac7b-61834eb5a060,2025160,Richwood Banking Company,falcon_2025_orders_enriched_review.csv,42
exact_existing_order_number,skip_existing,2025161,Richwood Banking Company,CR 200,02c83ceb-b1d2-486c-ab87-97f040447374,2025161,Richwood Banking Company,falcon_2025_orders_enriched_review.csv,43
exact_existing_order_number,skip_existing,2025163,Premier Bank,6705 Wales Road,3438423b-d675-4473-b26c-c4fa52b84191,2025163,Premier Bank,falcon_2025_orders_enriched_review.csv,44
exact_existing_order_number,skip_existing,2025164,Premier Bank,1802 Nebraska Avenue,e689bf2b-291c-4c0e-8048-1cd563bd3afb,2025164,Premier Bank,falcon_2025_orders_enriched_review.csv,45
exact_existing_order_number,skip_existing,2025165,Premier Bank,3730 South Avenue,60218ee8-2589-4492-a190-299313b67dfa,2025165,Premier Bank,falcon_2025_orders_enriched_review.csv,46
exact_existing_order_number,skip_existing,2025166,Premier Bank,4051 Lockbourne Industrial Pkwy,756c26e8-9561-4e52-aa94-2e5bd1333fe0,2025166,Premier Bank,falcon_2025_orders_enriched_review.csv,47
exact_existing_order_number,skip_existing,2025167,Premier Bank,4141 Lockbourne Industrial Pkwy,e88e34fd-0a23-4584-b758-50ce240258eb,2025167,Premier Bank,falcon_2025_orders_enriched_review.csv,48
exact_existing_order_number,skip_existing,2025168,Premier Bank,4140 Lockbourne Industrial Pkwy,34fee05a-14e0-43d1-b846-420e05ee39ea,2025168,Premier Bank,falcon_2025_orders_enriched_review.csv,49
exact_existing_order_number,skip_existing,2025170,Fair Rental Values,18125 Coastline Drive,0d5a6d60-8bba-4b30-a324-04f23ad93e81,2025170,Fair Rental Values,falcon_2025_orders_enriched_review.csv,50
exact_existing_order_number,skip_existing,2025171,Paul Avery,44 Arco Drive,b2613e65-e347-482d-9812-2cd3dc822fb4,2025171,Paul Avery,falcon_2025_orders_enriched_review.csv,51
exact_existing_order_number,skip_existing,2025172,Farmers & Merchants State Bank,"15, 17, 19, 23, & 25 South Superior Street",2b1d6868-a5f4-49f7-b08c-df7f0748147b,2025172,Farmers & Merchants State Bank,falcon_2025_orders_enriched_review.csv,52
exact_existing_order_number,skip_existing,2025174,State Bank & Trust Co.,2113 County Road L,f8dba3c9-f0c7-4a5d-a16a-e0c3cb55afb2,2025174,State Bank & Trust Co.,falcon_2025_orders_enriched_review.csv,53
exact_existing_order_number,skip_existing,2025175,Union Bank,Wiechart Lima Portfolio,752b665b-a1a2-40e9-9769-8389e1fa8eb4,2025175,The Union Bank Company,falcon_2025_orders_enriched_review.csv,54
exact_existing_order_number,skip_existing,2025179,Croghan Colonial Bank,3840 N. Summit Street,a29deb50-e0a9-418a-a4cb-c0896264e56a,2025179,Croghan Colonial Bank,falcon_2025_orders_enriched_review.csv,55
exact_existing_order_number,skip_existing,2025180,Farmers & Merchants State Bank,4796 Dow Ridge Road,8872035b-90ec-4fb3-a26a-e6db419c568d,2025180,Farmers & Merchants State Bank,falcon_2025_orders_enriched_review.csv,56
exact_existing_order_number,skip_existing,2025182,Premier Bank,28271 Cedar Park Blvd,52af9e48-d06a-4cbc-8849-a72139d3563a,2025182,Premier Bank,falcon_2025_orders_enriched_review.csv,57
exact_existing_order_number,skip_existing,2025183,Farmers & Merchants State Bank,9358 State Route 15,d1c3708c-6728-4cb6-8056-4def2cf2202c,2025183,Farmers & Merchants State Bank,falcon_2025_orders_enriched_review.csv,58
