action,reason,order_number,source_file,source_row,client_name,normalized_client_name,client_action,existing_client_id,property_address,city,state,year,status,property_type,fee,ordered_date,inspection_date,completed_date,appraiser_source_name,appraiser_action,appraiser_user_id,reviewer_source_name,reviewer_action,reviewer_user_id,target_operations_scope,import_source,import_batch,existing_order_id,existing_order_number,existing_client_name,confidence,evidence_notes
skip_existing,exact_existing_order_number,2025033,falcon_2025_orders_enriched_review.csv,2,Basem Kareem,Basem Kareem,reuse,58,1844 Bancroft Street,Toledo,OH,2025,completed,Retail,900,2025-01-15,,2025-03-31,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,9d3140da-05f3-4ad3-ae94-de7a97ff705d,2025033,Basem Kareem,High - Order Book validated,validated/enriched from Order Book row 66 via exact_order_number
skip_existing,exact_existing_order_number,2025066,falcon_2025_orders_enriched_review.csv,3,Genoa Banking Company,Genoa Banking Company,reuse,101,5526 Woodville Road,Northwood,OH,2025,completed,Retail,900,2025-02-13,,2025-02-27,CD,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,be0ff922-b2e8-40fe-a007-9e1d643ed8a5,2025066,Genoa Banking Company,High - Order Book validated,validated/enriched from Order Book row 132 via exact_order_number
skip_existing,exact_existing_order_number,2025085,falcon_2025_orders_enriched_review.csv,4,Amalgamated Real Estate Management,Amalgamated Real Estate Management,reuse,82,"114, 118 & 122 W Sylvania Ave",Toledo,OH,2025,completed,Industrial,1500,2025-03-03,,2025-04-04,CD,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,35e922ae-22a2-44c3-a24d-73cd419b131d,2025085,"Amalgamated Real Estate Management, LLC",High - Order Book validated,validated/enriched from Order Book row 170 via exact_order_number
skip_existing,exact_existing_order_number,2025087,falcon_2025_orders_enriched_review.csv,5,Amalgamated Real Estate Management,Amalgamated Real Estate Management,reuse,82,5810 Southwyck Blvd,Toledo,OH,2025,completed,Office,1500,2025-03-05,,2025-05-15,CD,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,b3ec568a-37c2-47d5-89a9-194967f9291f,2025087,"Amalgamated Real Estate Management, LLC",High - Order Book validated,validated/enriched from Order Book row 174 via exact_order_number
skip_existing,exact_existing_order_number,2025088,falcon_2025_orders_enriched_review.csv,6,Richwood Banking Company,Richwood Banking Company,reuse,127,"33 SFRs, 1 Duplex, 1 bare lot",Lima,OH,2025,completed,Multifamily,5000,2025-03-03,,2025-03-20,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,93f2a2ad-6b45-404e-bfc6-964e05c0a5cd,2025088,Richwood Banking Company,High - Order Book validated,validated/enriched from Order Book row 176 via exact_order_number
skip_existing,exact_existing_order_number,2025100,falcon_2025_orders_enriched_review.csv,7,Harriet Davis,Harriet Davis,reuse,28,2645-2655 West Central Avenue,Toledo,OH,2025,completed,Industrial,1200,2025-03-10,,2025-04-02,CR,reuse,03d77e1f-00e7-4665-b90e-608c5422d747,,blank,,internal_operations,Historical Import,2025_2026,2b9e4914-8597-4998-ba54-8207007a445e,2025100,Harriet Davis,High - Order Book validated,validated/enriched from Order Book row 200 via exact_order_number
skip_existing,exact_existing_order_number,2025102,falcon_2025_orders_enriched_review.csv,8,Genoa Banking Company,Genoa Banking Company,reuse,101,413 West State Street,Fremont,OH,2025,completed,Retail,1100,2025-03-13,,2025-03-27,MS,reuse,7aa98dab-85df-4923-b5b1-955ea1b5093d,,blank,,internal_operations,Historical Import,2025_2026,b03c4f3c-d2b7-4a64-9e45-d95407f5a878,2025102,Genoa Banking Company,High - Order Book validated,validated/enriched from Order Book row 204 via exact_order_number
skip_existing,exact_existing_order_number,2025105,falcon_2025_orders_enriched_review.csv,9,State Bank & Trust Co.,State Bank & Trust Co.,reuse,92,1000 W Wayne Street,Paulding,OH,2025,completed,Special Purpose,1100,2025-03-13,,2025-03-27,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,d3dfb01b-e6a3-4e09-a3c7-c0771884270b,2025105,State Bank & Trust Co.,High - Order Book validated,validated/enriched from Order Book row 210 via exact_order_number
skip_existing,exact_existing_order_number,2025111,falcon_2025_orders_enriched_review.csv,10,Farmers & Merchants State Bank,Farmers & Merchants State Bank,reuse,94,1414 Stewart Rd,Monroe,MI,2025,completed,Retail,2200,2025-03-14,,2025-04-01,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,fa1db296-b091-466b-a4e2-e92699a62e9d,2025111,Farmers & Merchants State Bank,High - Order Book validated,validated/enriched from Order Book row 222 via exact_order_number
skip_existing,exact_existing_order_number,2025112,falcon_2025_orders_enriched_review.csv,11,Citizens National Bank,Citizens National Bank,reuse,116,1525 Lima Avenue,Findlay,OH,2025,completed,Industrial,1300,2025-03-14,,04/23/2025,MS,reuse,7aa98dab-85df-4923-b5b1-955ea1b5093d,,blank,,internal_operations,Historical Import,2025_2026,834b9811-5b15-4fb7-a086-1923ca861947,2025112,Citizens National Bank,High - Order Book validated,validated/enriched from Order Book row 224 via exact_order_number
skip_existing,exact_existing_order_number,2025113,falcon_2025_orders_enriched_review.csv,12,State Bank & Trust Co.,State Bank & Trust Co.,reuse,92,122 S Fulton Street,Wauseon,OH,2025,completed,Retail,1300,2025-03-14,,2025-03-31,CD,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,fbde87e3-d34e-4614-a711-3852329ef458,2025113,State Bank & Trust Co.,High - Order Book validated,validated/enriched from Order Book row 226 via exact_order_number
skip_existing,exact_existing_order_number,2025117,falcon_2025_orders_enriched_review.csv,13,Union Bank,Union Bank,reuse,6,"126 W North Street, Ada OH & 1130 E Albert Street",Lima,OH,2025,completed,Multifamily,3000,2025-03-17,,2025-04-07,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,2b2ca227-d230-4bf8-9477-c6cde5c25f55,2025117,The Union Bank Company,High - Order Book validated,validated/enriched from Order Book row 234 via exact_order_number
skip_existing,exact_existing_order_number,2025118,falcon_2025_orders_enriched_review.csv,14,Farmers & Merchants State Bank,Farmers & Merchants State Bank,reuse,94,0 E State Road,Port Clinton,OH,2025,completed,Land,1200,2025-03-20,,2025-04-07,TC,mapping_needed,,,blank,,internal_operations,Historical Import,2025_2026,09b2fbb2-d691-4d35-a5a7-485c75f16b44,2025118,Farmers & Merchants State Bank,High - Order Book validated,validated/enriched from Order Book row 236 via exact_order_number
skip_existing,exact_existing_order_number,2025120,falcon_2025_orders_enriched_review.csv,15,State Bank & Trust Co.,State Bank & Trust Co.,reuse,92,700 W Elm Street,Wauseon,OH,2025,completed,Special Purpose,1000,,,2025-03-24,PC,reuse,66f13669-85c0-4842-89e2-bd792db17b2a,,blank,,internal_operations,Historical Import,2025_2026,e220f649-91fb-4a73-b9bd-1bf882049178,2025120,State Bank & Trust Co.,High - Order Book validated,validated/enriched from Order Book row 240 via exact_order_number
